struct,time,k,N,dim
quadTree,19187,8,1000,2
quadTree,27320,16,1000,2
quadTree,36596,32,1000,2
quadTree,47523,64,1000,2
quadTree,54426,2,10000,2
quadTree,113510,4,10000,2
quadTree,172955,8,10000,2
quadTree,238211,16,10000,2
quadTree,308195,32,10000,2
quadTree,385892,64,10000,2
quadTree,578576,2,100000,2
quadTree,1161299,4,100000,2
quadTree,1732899,8,100000,2
quadTree,2317469,16,100000,2
quadTree,2925267,32,100000,2
quadTree,3565741,64,100000,2
kdTree,112,2,100,1
kdTree,545,4,100,1
kdTree,1168,8,100,1
kdTree,1840,16,100,1
kdTree,2746,32,100,1
kdTree,3851,64,100,1
kdTree,160,2,1000,1
kdTree,1677,4,1000,1
kdTree,7433,8,1000,1
kdTree,14024,16,1000,1
kdTree,20603,32,1000,1
kdTree,27719,64,1000,1
kdTree,410,2,10000,1
kdTree,4887,4,10000,1
kdTree,53981,8,10000,1
kdTree,116706,16,10000,1
kdTree,182231,32,10000,1
kdTree,253851,64,10000,1
kdTree,464,2,100000,1
kdTree,12186,4,100000,1
kdTree,338993,8,100000,1
kdTree,1028148,16,100000,1
kdTree,1729310,32,100000,1
kdTree,2498716,64,100000,1
kdTree,206,2,100,2
kdTree,569,4,100,2
kdTree,1113,8,100,2
kdTree,1950,16,100,2
kdTree,3155,32,100,2
kdTree,4596,64,100,2
kdTree,657,2,1000,2
kdTree,2225,4,1000,2
kdTree,4958,8,1000,2
kdTree,9180,16,1000,2
kdTree,14579,32,1000,2
kdTree,22182,64,1000,2
kdTree,1732,2,10000,2
kdTree,6121,4,10000,2
kdTree,15328,8,10000,2
kdTree,30839,16,10000,2
kdTree,53383,32,10000,2
kdTree,86012,64,10000,2
kdTree,4102,2,100000,2
kdTree,16416,4,100000,2
kdTree,42422,8,100000,2
kdTree,86999,16,100000,2
kdTree,156342,32,100000,2
kdTree,260770,64,100000,2
kdTree,265,2,100,3
kdTree,711,4,100,3
kdTree,1355,8,100,3
kdTree,2367,16,100,3
kdTree,3954,32,100,3
kdTree,5600,64,100,3
kdTree,855,2,1000,3
kdTree,2535,4,1000,3
kdTree,5084,8,1000,3
kdTree,9577,16,1000,3
kdTree,15581,32,1000,3
kdTree,23764,64,1000,3
kdTree,2079,2,10000,3
kdTree,5836,4,10000,3
kdTree,12377,8,10000,3
kdTree,22878,16,10000,3
kdTree,38872,32,10000,3
kdTree,63922,64,10000,3
kdTree,4372,2,100000,3
kdTree,12981,4,100000,3
kdTree,28525,8,100000,3
kdTree,55325,16,100000,3
kdTree,97808,32,100000,3
kdTree,164537,64,100000,3
kdTree,364,2,100,4
kdTree,914,4,100,4
kdTree,1736,8,100,4
kdTree,2995,16,100,4
kdTree,4688,32,100,4
kdTree,6801,64,100,4
kdTree,1448,2,1000,4
kdTree,3228,4,1000,4
kdTree,6234,8,1000,4
kdTree,10388,16,1000,4
kdTree,16338,32,1000,4
kdTree,26419,64,1000,4
kdTree,2951,2,10000,4
kdTree,9287,4,10000,4
kdTree,16625,8,10000,4
kdTree,27875,16,10000,4
kdTree,46187,32,10000,4
kdTree,73705,64,10000,4
kdTree,7548,2,100000,4
kdTree,19732,4,100000,4
kdTree,37186,8,100000,4
kdTree,64671,16,100000,4
kdTree,107150,32,100000,4
kdTree,174075,64,100000,4
kdTree,509,2,100,5
kdTree,1215,4,100,5
kdTree,2093,8,100,5
kdTree,3678,16,100,5
kdTree,5551,32,100,5
kdTree,7716,64,100,5
kdTree,1526,2,1000,5
kdTree,3802,4,1000,5
kdTree,7073,8,1000,5
kdTree,11871,16,1000,5
kdTree,19125,32,1000,5
kdTree,32476,64,1000,5
kdTree,4049,2,10000,5
kdTree,10803,4,10000,5
kdTree,19287,8,10000,5
kdTree,32395,16,10000,5
kdTree,52553,32,10000,5
kdTree,84798,64,10000,5
kdTree,10019,2,100000,5
kdTree,24223,4,100000,5
kdTree,44935,8,100000,5
kdTree,74976,16,100000,5
kdTree,120090,32,100000,5
kdTree,190079,64,100000,5
kdTree,559,2,100,6
kdTree,1629,4,100,6
kdTree,2889,8,100,6
kdTree,5141,16,100,6
kdTree,7174,32,100,6
kdTree,9710,64,100,6
kdTree,2330,2,1000,6
kdTree,5428,4,1000,6
kdTree,9946,8,1000,6
kdTree,15912,16,1000,6
kdTree,24968,32,1000,6
kdTree,37247,64,1000,6
kdTree,5864,2,10000,6
kdTree,13846,4,10000,6
kdTree,26334,8,10000,6
kdTree,43171,16,10000,6
kdTree,67308,32,10000,6
kdTree,101394,64,10000,6
kdTree,13114,2,100000,6
kdTree,30873,4,100000,6
kdTree,54749,8,100000,6
kdTree,88674,16,100000,6
kdTree,138415,32,100000,6
kdTree,212482,64,100000,6
kdTree,785,2,100,7
kdTree,1756,4,100,7
kdTree,2950,8,100,7
kdTree,4617,16,100,7
kdTree,6872,32,100,7
kdTree,9607,64,100,7
kdTree,3329,2,1000,7
kdTree,7457,4,1000,7
kdTree,12913,8,1000,7
kdTree,20081,16,1000,7
kdTree,30326,32,1000,7
kdTree,45254,64,1000,7
kdTree,7887,2,10000,7
kdTree,18957,4,10000,7
kdTree,33164,8,10000,7
kdTree,52875,16,10000,7
kdTree,80891,32,10000,7
kdTree,121874,64,10000,7
kdTree,20672,2,100000,7
kdTree,46511,4,100000,7
kdTree,81575,8,100000,7
kdTree,128760,16,100000,7
kdTree,199143,32,100000,7
kdTree,293495,64,100000,7
